Altium Designer Pick and Place Locations
D:\Zohm_Control_GmbH\Projekte\ZCbugger\zcbugger_hw\Work_Altium\Project Outputs for ZC23002\Rev01\Pick Place\Pick Place for UZ_isoJTAG_Adapter(Default).csv

========================================================================================================================
File Design Information:

Date:       16.01.24
Time:       10:52
Revision:   2e3a817ed1b7c9bf0f0b9d9883a78dc835c459d8
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"U2","2016","2.1500","2.1500","13.0000","13.0000","2.9000","13.6000","270","SIT8008BI-73-XXS-12.000000G","TopLayer"
"C19","C_0402_TE","22.9000","22.9001","10.7000","10.7000","22.9001","11.1600","270","100 nF","TopLayer"
"C18","C_0402_TE","10.1000","10.1001","9.5000","9.5000","10.1001","9.9600","270","100 nF","TopLayer"
"C17","C_0402_TE","22.9000","22.8999","12.7000","12.7000","22.8999","13.1600","270","100 nF","BottomLayer"
"C16","C_0402_TE","10.1000","10.1001","12.9000","12.9000","10.1001","12.4400","90","100 nF","BottomLayer"
"C15","C_0402_TE","22.9000","22.8999","20.3000","20.3000","22.8999","19.8400","90","100 nF","TopLayer"
"C14","C_0402_TE","10.2000","10.2001","20.3000","20.3000","10.2001","20.7600","270","100 nF","TopLayer"
"C13","C_0402_TE","1.2000","1.2000","20.8000","20.8001","0.7400","20.8001","0","100 nF","TopLayer"
"C12","C_0402_TE","2.9000","2.9000","11.3000","11.3001","2.4400","11.3001","0","100 nF","TopLayer"
"C11","C_0402_TE","8.9000","8.9000","2.0000","2.0000","8.4400","2.0000","0","4.7 µF","BottomLayer"
"C10","C_0402_TE","10.3000","10.2999","2.0000","2.0000","10.2999","1.5400","90","100 nF","TopLayer"
"C9","C_0402_TE","6.9000","6.9000","9.3000","9.3001","7.3600","9.3001","180","100 nF","BottomLayer"
